name,address,latitude,longtitude,phone,logo_url,updated_at,open_status,court_id,description,geom,city_code,dist_code
崇林國中排球場(館),新北市林口區文化一路一段20號,25.06754853,121.3695019,02-26095829#133,https://az804957.vo.msecnd.net/photogym/20140716092641_IMG_5446 (2).JPG,,FREE,1,"排球場(館),排球場(館)",,65000,65000170
礁溪國小排球場(館),宜蘭縣礁溪鄉大忠村礁溪路四段135號,24.82226354,121.7684484,03-9882047,https://az804957.vo.msecnd.net/photogym/20140716143305_13.jpg,,CLOSE,2,排球場(館),,10002,10002050
新嘉國小籃球場,臺南市後壁區新嘉里210之2號,23.36153182,120.3236432,06-6621981,https://az804957.vo.msecnd.net/photogym/20140716152239_DSC05003.JPG,,FREE,3,籃球場(館),,67000,67000050
文林國小活動中心,新北市樹林區潭底里千歲街59號,24.99772471,121.4255936,02-26812625#833,https://az804957.vo.msecnd.net/photogym/20140716195840_活動中心.jpg,,CLOSE,4,"排球場(館),排球場(館)",,65000,65000070
高雄醫學大學排球場(館),高雄市三民區十全一路100號,22.64766359,120.3095979,07-3121101#2124,https://az804957.vo.msecnd.net/photogym/20140716224619_操場22.jpg,,CLOSE,5,排球場(館),,64000,64000050
桃園農工風雨操場(館),桃園市桃園區成功路二段144號,24.99168851,121.3199294,03-3333921#350,https://az804957.vo.msecnd.net/photogym/20140716134433_IMG_20140716_134500.jpg,,PAID,6,排球場(館),,68000,68000010
啟文國小活動中心,苗栗縣苗栗市福星里啟賢街61號,24.56872674,120.8263411,037-260466,https://az804957.vo.msecnd.net/photogym/20140717094109_IMAG0010.jpg,,CLOSE,7,總合場館,,10005,10005010
光華高中大禮堂,臺南市東區勝利路41號,22.98868384,120.2173322,06-2386501#221,https://az804957.vo.msecnd.net/photogym/20140716085215_調整大小DSC02883.JPG,,CLOSE,8,"籃球場,羽球場(館),排球場(館)",,67000,67000320
四張犁國中排球場(館),臺中市北屯區同榮里后庄路699號,24.19469636,120.6779158,04-24210380#723,https://az804957.vo.msecnd.net/photogym/20140717103736_DSC04091.JPG,,FREE,9,排球場,,66000,66000080
新興國中排球場(館),臺南市南區新孝路87號,22.97724391,120.1861382,06-2633171,https://az804957.vo.msecnd.net/photogym/20140717114952_DSCN0456.JPG,,FREE,10,排球場(館),,67000,67000330
苓和國小體育館,臺南市將軍區苓和里132號,23.22056586,120.1614779,06-7942031#13,https://az804957.vo.msecnd.net/photogym/20140717120324_DSCN0025.JPG,,CLOSE,11,"籃球場,排球場(館),羽球場(館)",,67000,67000160
耕莘健康管理專科學校排球場,新北市新店區民族路112號,24.97755345,121.5362978,02-22191131#5323,https://az804957.vo.msecnd.net/photogym/20140715141800_排球場1.JPG,,CLOSE,12,"室外籃球場,排球場(館)",,65000,65000060
豐原國小活動中心,臺中市豐原區新生北路155號,24.25464349,120.7202625,04-25222066,https://az804957.vo.msecnd.net/photogym/20140718104731_禮堂1.jpg,,CLOSE,13,排球場(館),,66000,66000090
員林家商排球場,彰化縣員林市中正路56號,23.95027304,120.577966,04-8320260#229,https://az804957.vo.msecnd.net/photogym/20140721105802_排球場2.jpg,,FREE,14,排球場,,10007,10007100
修德國小排球場,臺北市南港區東新街118巷86號,25.04481538,121.5894002,02-27880500,https://az804957.vo.msecnd.net/photogym/20140721120335_IMG_3703.JPG,,CLOSE,15,排球場(館),,63000,63000090
大雅國中體育館,臺中市大雅區學府路280號,24.22370482,120.6510133,04-25672171#304,https://az804957.vo.msecnd.net/photogym/20140721150852_mobile52101861-184a-4891-bdd1-870edcfabb07.jpg,,CLOSE,16,"籃球場,排球場(館),羽球場(館)",,66000,66000180
大雅國中田徑場,臺中市大雅區學府路280號,24.22448266,120.6514317,04-25672171#304,https://az804957.vo.msecnd.net/photogym/20140721154753_mobilef86b133c-64f2-4e8e-92fc-603db7691cf2.jpg,,FREE,17,"籃球場,排球場(館)",,66000,66000180
惠文國小籃球場,臺中市南屯區公益路二段300號,24.15334214,120.6375647,04-22596907,https://az804957.vo.msecnd.net/photogym/20140722111417_22243.jpg,,FREE,18,"籃球場,排球場",,66000,66000070
北門國中活動中心,臺南市北門區永華里1之1號,23.2531976,120.1283044,06-7862014#14,https://az804957.vo.msecnd.net/photogym/20140709111215_IMG_4679.JPG,,CLOSE,19,活動中心,,67000,67000170
惠文國小活動中心,臺中市南屯區公益路二段300號,24.15257855,120.6381601,04-22596907#724,https://az804957.vo.msecnd.net/photogym/20140722114958_22242.jpg,,CLOSE,20,"排球場(館),躲避球場",,66000,66000070
日南國中排球場(館),臺中市大甲區中山路二段69-11號,24.37767574,120.6509328,04-26813721#532,https://az804957.vo.msecnd.net/photogym/20140722115936_33.jpg,,FREE,21,排球場(館),,66000,66000110
金門大學體育館,金門縣金寧鄉大學路1號,24.44728808,118.3221531,082-313802,https://az804957.vo.msecnd.net/photogym/20140718135721_IMG_3751.JPG,,FREE,22,"籃球場,羽球場(館),排球場(館),舞蹈教室,桌球場(館),健身房(含重量訓練室),壁球場,壁球場",,09020,09020040
大園國小籃球場,彰化縣埔鹽鄉豐澤村埔打路45之1號,23.97956295,120.4880731,04-8853760,https://az804957.vo.msecnd.net/photogym/20140722102650_CIMG3791.JPG,,FREE,23,"羽球場(館),排球場(館)",,10007,10007140
苑裡國小新活動中心,苗栗縣苑裡鎮中山路307號,24.44910059,120.6548354,03-7861013#25,https://az804957.vo.msecnd.net/photogym/20160909174637_1JWTMG9MOA6UAUTY4JG7.jpg,,CLOSE,24,排球場(館),,10005,10005020
茄萣國中體育館,高雄市茄萣區白雲里濱海路四段29號,22.90598503,120.1812887,07-6900054#31,https://az804957.vo.msecnd.net/photogym/20140616140802_P1040421.JPG,,CLOSE,25,"羽球場(館),跆拳道場/館,排球場(館)",,64000,64000260
建國國中田徑場,苗栗縣頭份鎮建國路119號,24.69448759,120.9103882,037-691491,https://az804957.vo.msecnd.net/photogym/20140722100508_場館-1.jpg,,FREE,26,"田徑場,籃球場,排球場,籃球場(慈輝分校)",,10005,
新發國小籃球場,高雄市六龜區新發里和平路130號,23.03244566,120.6623966,07-6791387,https://az804957.vo.msecnd.net/photogym/20140619103055_新發國小-籃球場照片.jpg,,FREE,27,"籃球場(館),羽球場(館),躲避球場",,64000,64000320
瑞竹國中籃球與排球場,南投縣竹山鎮瑞竹里瑞東巷20號,23.66767853,120.6719935,049-2711014,https://az804957.vo.msecnd.net/photogym/20160628102531_樂群管.jpg,,FREE,28,籃球場,,10008,10008040
竹東高中排球場,新竹縣竹東鎮大林路2號,24.73300441,121.0882187,03-5962024#303,https://az804957.vo.msecnd.net/photogym/20170417144810_Y4ZT3SG91M1FG5SNGPUP.jpg,,CLOSE,29,排球場(館),,10004,10004020
竹東高中排球場,新竹縣竹東鎮大林路2號,24.73300441,121.0882187,03-5962024#303,https://az804957.vo.msecnd.net/photogym/20170417144417_8JH3NJ4HW4NM3JA3TZ3E.jpg,,CLOSE,30,排球場(館),,10004,10004020
三民高中操場,新北市蘆洲區三民路96號,25.08664831,121.4737165,02-22894675#231,https://az804957.vo.msecnd.net/photogym/20170420103337_IB0JTBBDKJ8WYN5VNXYA.jpg,,FREE,31,排球場(館),,65000,65000140
化仁國小活動中心,花蓮縣吉安鄉東里十一街83號,23.96276899,121.5965348,03-8528720#313,https://az804957.vo.msecnd.net/photogym/20140612165655_YI8JPLMKBOVUSUN8HITF.JPG,,CLOSE,32,"風雨教室,籃球場",,10015,10015050
鹿港國小活動中心前球場,彰化縣鹿港鎮菜園里三民路192號,24.05245028,120.4335076,04-7772038,https://az804957.vo.msecnd.net/photogym/20140707143703_BUDA6THZGJDX8H9V0JXT.JPG,,FREE,33,"半場籃球場,躲避球場,排球場(館)",,10007,10007020
竹塘國中躲避球場(與排球場共用),彰化縣竹塘鄉竹塘村竹林路一段550號,23.86480374,120.4257452,04-8972034#14,https://az804957.vo.msecnd.net/photogym/20140707152104_DSC06079.JPG,,FREE,34,躲避球場,,10007,10007250
籃球場，排球場,臺東縣太麻里鄉大王村德輝路18號,22.61521915,121.00595,08-9781324#20,https://az804957.vo.msecnd.net/photogym/20140701093837_DSC_1006.JPG,,FREE,35,排球場(館),,10014,10014090
平和國中排球場,花蓮縣壽豐鄉平和村平和路48號,23.88440544,121.5178174,03-8661221#12,https://az804957.vo.msecnd.net/photogym/20170421142155_62NS06W93FU5V8AYVY92.jpg,,CLOSE,36,排球場(館),,10015,10015060
港和國小活動中心,高雄市小港區平和南路300號,22.56827906,120.3379753,07-8131506#224,https://az804957.vo.msecnd.net/photogym/20140616110528_活動中心全景(自訂).jpg,,CLOSE,37,"籃球場,排球場(館),羽球場(館)",,64000,64000110
樂群國小體育館,高雄市前鎮區育樂路61號,22.60807827,120.3224427,07-7225846#724,https://az804957.vo.msecnd.net/photogym/20140619120033_K:\DCIM\204___06\IMG_0634.JPG,,CLOSE,38,排球場(館),,64000,
馬公高中體育館,澎湖縣馬公市中華路369號,23.57291569,119.5797658,06-9272342#331,https://az804957.vo.msecnd.net/photogym/20140603092847_NT0J1BIPTR615H4ATZ9K.jpg,,PAID,39,"籃球場,排球場(館),籃球場,羽球場(館),田徑場,桌球場(館)",,10016,10016010
明德高中排球場(館),新北市三峽區中正路二段399號,24.90422639,121.3663101,02-26723302#235,https://az804957.vo.msecnd.net/photogym/20140616092139_IMG_20140616_090331.jpg,,CLOSE,40,排球場(館),,65000,65000090
興華高中室外籃、排球場,苗栗縣頭份鎮中正一路401號,24.68681594,120.9359765,037-663403#313,https://az804957.vo.msecnd.net/photogym/20140618112904_20111222307.jpg,,FREE,41,籃排球場,,10005,
世賢國小田徑場,嘉義市西區世賢路一段687號,23.48846827,120.4286957,05-2338264,https://az804957.vo.msecnd.net/photogym/20140613154051_DSCN1476.JPG,,CLOSE,42,"田徑場,籃球場,排球場(館),躲避球場",,10020,10020020
日新國小綜合球場,臺南市南區金華路一段473號,22.97234079,120.1899586,06-2912931#521,https://az804957.vo.msecnd.net/photogym/20160707092922_E3DSK419TFOIRT3JFBIX.jpg,,FREE,43,排球場(館),,67000,67000330
水上國中室外多功能排羽球場,嘉義縣水上鄉水上村進學街45號,23.42529243,120.3952944,05-2682024#12,https://az804957.vo.msecnd.net/photogym/20180507104859_GU0S6OK1Q4D6ML7ZBYI6.JPG,,FREE,44,水上國中室外多功能排球、羽球場,,10010,10010120
